,University,Country,uni-country,codes
375,ïṡẄrebro University,Sweden,"ïṡẄrebro University, SWE", SWE
376,Swinburne University of Technology,Australia,"Swinburne University of Technology, AUS", AUS
377,Catholic University of Portugal,Portugal,"Catholic University of Portugal, PRT", PRT
378,Justus Liebig University Giessen,Germany,"Justus Liebig University Giessen, DEU", DEU
379,RMIT University,Australia,"RMIT University, AUS", AUS
380,University of Connecticut,United States,"University of Connecticut, USA", USA
381,IMT Atlantique,France,"IMT Atlantique, FRA", FRA
382,University of Alaska Fairbanks,United States,"University of Alaska Fairbanks, USA", USA
383,Indian Institute of Technology Indore,India,"Indian Institute of Technology Indore, IND", IND
384,University of Naples Federico II,Italy,"University of Naples Federico II, ITA", ITA
385,Hofstra University,United States,"Hofstra University, USA", USA
386,Iowa State University,United States,"Iowa State University, USA", USA
387,University of CïṡẄte dïṡẄAzur,France,"University of CïṡẄte dïṡẄAzur, FRA", FRA
388,University of Georgia,United States,"University of Georgia, USA", USA
389,University of KwaZulu-Natal,South Africa,"University of KwaZulu-Natal, ZAF", ZAF
390,University of the Philippines,Philippines,"University of the Philippines, PHL", PHL
391,University of Siena,Italy,"University of Siena, ITA", ITA
392,LinkïṡẄping University,Sweden,"LinkïṡẄping University, SWE", SWE
393,Qatar University,Qatar,"Qatar University, QAT", QAT
394,University of Kansas,United States,"University of Kansas, USA", USA
395,Royal Veterinary College,United Kingdom,"Royal Veterinary College, GBR", GBR
396,University of Turin,Italy,"University of Turin, ITA", ITA
397,Cankaya University,Turkey,"Cankaya University, TUR", TUR
398,Technion Israel Institute of Technology,Israel,"Technion Israel Institute of Technology, ISR", ISR
399,Tokyo Medical and Dental University (TMDU),Japan,"Tokyo Medical and Dental University (TMDU), JPN", JPN
400,University of Innsbruck,Austria,"University of Innsbruck, AUT", AUT
401,University of Eastern Finland,Finland,"University of Eastern Finland, FIN", FIN
402,University of Milan-Bicocca,Italy,"University of Milan-Bicocca, ITA", ITA
403,York University,Canada,"York University, CAN", CAN
404,University of Missouri-St Louis,United States,"University of Missouri-St Louis, USA", USA
405,University of Nebraska-Lincoln,United States,"University of Nebraska-Lincoln, USA", USA
